-------------------------------------------------------------------------------------------------	yProperty	yCountDistinct	yCount
=================================================================================================
http://dbpedia.org/property/description	6	166
http://dbpedia.org/property/majorIslands	13	166
http://dbpedia.org/ontology/averageDepth	31	165
http://dbpedia.org/property/areaMagnitude	90	162
http://dbpedia.org/property/mayor	102	161
http://dbpedia.org/property/district	113	154
http://dbpedia.org/ontology/combatant	19	146
http://dbpedia.org/property/lengthKm	33	146
http://dbpedia.org/ontology/cityType	60	138
http://dbpedia.org/ontology/width	40	138
http://dbpedia.org/property/cityType	60	138
http://dbpedia.org/property/archipelago	58	134
http://dbpedia.org/ontology/archipelago	58	134
http://dbpedia.org/property/countryLargestCity	51	134
http://dbpedia.org/property/anthem	34	132
http://dbpedia.org/property/link	63	129
http://dbpedia.org/property/censusEstimateYr	62	129
http://dbpedia.org/ontology/strength	18	121
http://dbpedia.org/property/postcodeDistrict	98	119
http://dbpedia.org/property/province	92	119
http://dbpedia.org/ontology/province	92	119
http://dbpedia.org/ontology/twinTown	19	117
http://dbpedia.org/property/licence	97	116
http://dbpedia.org/property/combatant	22	114
http://dbpedia.org/ontology/mayor	71	112
http://dbpedia.org/ontology/volume	19	110
http://dbpedia.org/ontology/neighboringMunicipality	12	110
http://dbpedia.org/property/arrondissement	87	110
http://dbpedia.org/ontology/arrondissement	87	110
http://dbpedia.org/property/leader	29	109
http://dbpedia.org/property/dialCode	90	106
http://dbpedia.org/property/twin	14	105
http://dbpedia.org/ontology/gridReference	86	100
http://dbpedia.org/property/osGridReference	86	100
http://dbpedia.org/property/neighboringMunicipalities	12	100
http://dbpedia.org/property/stand	78	97
http://dbpedia.org/property/widthKm	16	97
http://dbpedia.org/ontology/rightTributary	24	96
http://dbpedia.org/property/tributaryRight	24	96
http://dbpedia.org/ontology/sourceCountry	47	95
http://dbpedia.org/property/depthM	8	92
http://dbpedia.org/property/tributaryLeft	24	92
http://dbpedia.org/ontology/leftTributary	24	92
http://dbpedia.org/property/founder	33	89
http://dbpedia.org/ontology/riverMouth	72	88
http://dbpedia.org/ontology/founder	28	86
http://dbpedia.org/ontology/result	22	81
http://dbpedia.org/property/web	32	80
http://dbpedia.org/ontology/party	16	76
http://dbpedia.org/property/populationDemonym	10	75
http://dbpedia.org/ontology/locatedInArea	26	74
http://dbpedia.org/property/maxDepthM	8	74
http://dbpedia.org/property/strength	20	74
http://dbpedia.org/property/areaWaterPercent	54	73
http://dbpedia.org/ontology/saint	46	72
http://dbpedia.org/ontology/twinCountry	12	71
http://dbpedia.org/ontology/causalties	15	69
http://dbpedia.org/property/densityKm	33	69
http://dbpedia.org/property/saint	46	69
http://dbpedia.org/ontology/federalState	54	68
http://dbpedia.org/property/gdp	12	67
http://dbpedia.org/property/nuts	12	67
http://dbpedia.org/ontology/nutsCode	12	67
http://dbpedia.org/ontology/grossDomesticProduct	12	67
http://dbpedia.org/property/mouth	59	65
http://dbpedia.org/ontology/border	5	65
http://dbpedia.org/property/intercommunality	51	64
http://dbpedia.org/ontology/intercommunality	51	64
http://dbpedia.org/property/royalAnthem	8	64
http://dbpedia.org/property/nameLocal	43	63
http://dbpedia.org/property/category	40	63
http://dbpedia.org/ontology/maximumTemperature	4	60
http://dbpedia.org/ontology/minimumTemperature	4	60
http://dbpedia.org/property/outflow	18	59
http://dbpedia.org/ontology/outflow	18	59
http://rdvocab.info/RDARelationshipsWEMI/manifestationOfWork	1	57
http://dbpedia.org/property/temperatureHighC	3	56
http://dbpedia.org/property/temperatureLowC	3	56
http://dbpedia.org/ontology/PopulatedPlace/populationMetroDensity	20	55
http://dbpedia.org/property/volumeKm	6	55
http://dbpedia.org/ontology/populationMetroDensity	20	55
http://dbpedia.org/property/italianName	7	54
http://dbpedia.org/ontology/discharge	43	52
http://dbpedia.org/ontology/Stream/discharge	43	52
http://dbpedia.org/ontology/mouthMountain	36	50
http://dbpedia.org/ontology/sourcePlace	36	50
http://dbpedia.org/ontology/mouthPlace	36	50
http://dbpedia.org/property/populationDensityMetroKm	20	50
http://dbpedia.org/ontology/sourceMountain	36	50
http://dbpedia.org/property/built	43	49
http://dbpedia.org/property/areaMetroSqMi	27	49
http://dbpedia.org/property/casualties	17	49
http://dbpedia.org/ontology/mouthPosition	39	48
http://dbpedia.org/ontology/place	21	48
http://dbpedia.org/ontology/sourcePosition	33	47
http://dbpedia.org/property/mayorParty	26	46
http://dbpedia.org/property/sourceLocation	36	45
http://dbpedia.org/ontology/daylightSavingTimeZone	37	45
http://dbpedia.org/property/mouthLocation	36	44
http://dbpedia.org/property/border	5	44
http://dbpedia.org/ontology/largestSettlement	10	44
http://dbpedia.org/property/unitaryScotland	34	44
http://dbpedia.org/property/postalCodes	33	44
http://dbpedia.org/property/telephoneArea	33	44
http://dbpedia.org/property/bürgermeistertitel	30	44
http://dbpedia.org/property/highestElevation	18	43
http://dbpedia.org/property/gaelicName	33	43
http://dbpedia.org/ontology/sourceElevation	32	43
http://dbpedia.org/ontology/councilArea	32	42
http://dbpedia.org/ontology/source	25	42
http://dbpedia.org/property/rulingParty	10	42
http://dbpedia.org/ontology/populationUrbanDensity	11	42
http://dbpedia.org/ontology/mouthElevation	34	42
http://dbpedia.org/ontology/PopulatedPlace/populationUrbanDensity	11	42
http://dbpedia.org/property/founded	30	41
http://dbpedia.org/property/largestSettlement	7	40
http://dbpedia.org/property/popEstAsOf	4	39
http://dbpedia.org/property/rivers	5	39
http://dbpedia.org/property/discharge	31	39
http://dbpedia.org/property/part	12	38
http://dbpedia.org/ontology/areaOfCatchment	12	38
http://dbpedia.org/property/refnum	31	38
http://dbpedia.org/ontology/canton	32	38
http://dbpedia.org/property/added	30	37
http://dbpedia.org/ontology/frazioni	19	37
http://dbpedia.org/property/place	22	37
http://dbpedia.org/property/germanName	11	36
http://dbpedia.org/property/oceans	8	36
http://dbpedia.org/ontology/highestPlace	14	36
http://dbpedia.org/property/highest	14	35
http://dbpedia.org/property/lowest	17	35
http://dbpedia.org/property/canton	32	35
http://dbpedia.org/property/riverName	28	34
http://dbpedia.org/property/shireDistrict	31	33
http://dbpedia.org/property/elevationMin	20	33
http://dbpedia.org/property/shireCounty	32	33
http://dbpedia.org/ontology/runwayLength	10	33
http://dbpedia.org/property/result	25	33
http://dbpedia.org/ontology/origin	25	33
http://dbpedia.org/ontology/watershed	31	32
http://dbpedia.org/ontology/lieutenancyArea	26	32
http://dbpedia.org/ontology/lowest	15	32
http://dbpedia.org/ontology/Stream/watershed	31	32
http://dbpedia.org/property/lieutenancyScotland	26	32
http://dbpedia.org/property/elevationMax	19	32
http://dbpedia.org/ontology/shoreLength	8	31
http://dbpedia.org/property/populationDensityUrbanKm	10	31
http://dbpedia.org/property/conflict	25	31
http://dbpedia.org/ontology/buildingEndDate	25	30
http://dbpedia.org/property/areaUrbanSqMi	14	30
http://dbpedia.org/ontology/isPartOfMilitaryConflict	19	30
http://dbpedia.org/property/sourceElevation	22	30
http://dbpedia.org/property/mouthElevation	21	29
http://dbpedia.org/property/origin	25	29
http://dbpedia.org/property/source	17	29
http://dbpedia.org/ontology/distanceToLondon	20	28
http://dbpedia.org/ontology/map	2	28
http://dbpedia.org/ontology/quote	2	28
http://dbpedia.org/property/reference	2	28
http://dbpedia.org/property/imageMap	2	28
http://dbpedia.org/property/scotsName	22	28
http://dbpedia.org/property/seat	15	28
http://dbpedia.org/property/partof	21	28
http://dbpedia.org/ontology/mouthCountry	18	27
http://dbpedia.org/property/catchmentKm	3	27
http://dbpedia.org/property/countries	6	27
http://dbpedia.org/property/frazioni	19	27
http://dbpedia.org/property/mouthCountry	18	26
http://dbpedia.org/ontology/date	14	25
http://dbpedia.org/property/shoreKm	2	24
http://dbpedia.org/ontology/leaderFunction	1	24
http://dbpedia.org/property/popDate	11	24
http://dbpedia.org/ontology/nrhpReferenceNumber	24	24
http://dbpedia.org/property/government	8	24
http://dbpedia.org/ontology/government	8	24
http://dbpedia.org/property/sourceCountry	16	23
http://dbpedia.org/ontology/highestPosition	12	23
http://dbpedia.org/ontology/added	23	23
http://dbpedia.org/property/twin1Country	8	22
http://dbpedia.org/property/date	15	21
http://dbpedia.org/property/maxDepth	3	21
http://dbpedia.org/property/party	18	21
http://dbpedia.org/property/mouthName	13	20
http://dbpedia.org/ontology/ceremonialCounty	17	20
http://dbpedia.org/ontology/river	14	20
http://dbpedia.org/property/lowestElevation	11	20
http://dbpedia.org/property/totalIslands	14	19
http://dbpedia.org/property/areaSqmi	11	19
http://dbpedia.org/ontology/numberOfIslands	14	19
http://dbpedia.org/property/partOf	1	19
http://dbpedia.org/ontology/Stream/maximumDischarge	17	18
http://dbpedia.org/property/river	13	18
http://dbpedia.org/ontology/maximumDischarge	17	18
http://dbpedia.org/property/lieutenancyEngland	15	18
http://dbpedia.org/ontology/sourceRegion	16	18
http://dbpedia.org/ontology/builder	13	18
http://dbpedia.org/ontology/otherName	8	17
http://dbpedia.org/property/nearestCity	16	17
http://dbpedia.org/property/geology	3	17
http://dbpedia.org/property/irishName	14	17
http://dbpedia.org/ontology/runwaySurface	10	16
http://dbpedia.org/ontology/yearOfConstruction	16	16
http://dbpedia.org/ontology/county	12	16
http://dbpedia.org/ontology/runwayDesignation	9	16
http://dbpedia.org/ontology/widthQuote	1	16
http://dbpedia.org/property/code	14	16
http://dbpedia.org/ontology/code	14	16
http://dbpedia.org/property/popMetro	9	16
http://dbpedia.org/property/elevationImperial	16	16
http://dbpedia.org/property/language	4	16
http://dbpedia.org/property/range	11	16
http://dbpedia.org/ontology/id	13	16
http://dbpedia.org/property/sourceRegion	15	16
http://dbpedia.org/ontology/territory	4	16
http://dbpedia.org/property/lengthMi	9	15
http://dbpedia.org/property/lieutenancyNorthernIreland	12	15
http://dbpedia.org/ontology/Stream/minimumDischarge	14	15
http://dbpedia.org/ontology/minimumDischarge	14	15
http://dbpedia.org/property/highestRegion	5	14
http://dbpedia.org/ontology/highestRegion	5	14
http://dbpedia.org/property/subjectName	12	14
http://dbpedia.org/ontology/mouthRegion	14	14
http://dbpedia.org/ontology/municipalityCode	12	14
http://dbpedia.org/property/isoCodeRegion	12	14
http://dbpedia.org/property/unitaryNorthernIreland	12	14
http://dbpedia.org/property/mouthRegion	14	14
http://dbpedia.org/property/municipalityCode	12	14
http://dbpedia.org/property/elevationMaxFt	13	14
http://dbpedia.org/ontology/Lake/volume	11	13
http://dbpedia.org/ontology/geology	2	13
http://dbpedia.org/ontology/lowestPlace	7	13
http://dbpedia.org/ontology/governmentElevation	6	13
http://dbpedia.org/ontology/governmentPosition	6	13
http://dbpedia.org/property/governmentElevation	6	13
http://dbpedia.org/property/countryCapital	3	13
http://dbpedia.org/ontology/mountainRange	11	13
http://dbpedia.org/property/lengthImperial	13	13
http://dbpedia.org/property/prominenceM	6	12
http://dbpedia.org/ontology/prominence	6	12
http://dbpedia.org/property/divisions	11	12
http://dbpedia.org/property/vorwahl	7	12
http://dbpedia.org/ontology/distanceToEdinburgh	7	12
http://dbpedia.org/ontology/division	11	12
http://dbpedia.org/property/plz	7	12
http://dbpedia.org/property/builder	12	12
http://dbpedia.org/property/mouthElevationImperial	12	12
http://dbpedia.org/property/governmentRegion	4	11
http://dbpedia.org/property/populationDensityUrbanSqMi	2	11
http://dbpedia.org/property/watershedImperial	11	11
http://dbpedia.org/ontology/governmentRegion	4	11
http://dbpedia.org/property/dischargeMaxImperial	11	11
http://dbpedia.org/ontology/Lake/areaOfCatchment	9	11
http://dbpedia.org/property/r1Surface	10	11
http://dbpedia.org/ontology/lowestMountain	5	10
http://dbpedia.org/property/dischargeMinImperial	10	10
http://dbpedia.org/property/dischargeImperial	10	10
http://dbpedia.org/property/r1LengthF	9	10
http://dbpedia.org/property/cityServed	6	10
http://dbpedia.org/property/r1Number	9	10
http://dbpedia.org/property/lowestLocation	5	10
http://dbpedia.org/ontology/related	3	10
http://dbpedia.org/property/arname	5	10
http://dbpedia.org/property/r1LengthM	9	10
http://dbpedia.org/property/sourceElevationImperial	10	10
http://dbpedia.org/ontology/distanceToBelfast	8	9
http://dbpedia.org/property/sourceName	8	9
http://dbpedia.org/property/localName	5	9
http://dbpedia.org/property/highestState	4	9
http://dbpedia.org/property/length	9	9
http://dbpedia.org/property/twin2Country	7	9
http://dbpedia.org/ontology/owner	8	9
http://dbpedia.org/property/architect	7	9
http://dbpedia.org/ontology/populationRural	9	9
http://dbpedia.org/ontology/architect	7	9
http://dbpedia.org/property/related	4	9
http://dbpedia.org/property/populationRural	9	9
http://dbpedia.org/property/group	5	8
http://dbpedia.org/property/biome	5	8
http://dbpedia.org/ontology/endPoint	1	8
http://dbpedia.org/property/lakeType	4	8
http://dbpedia.org/ontology/subdivisions	2	8
http://dbpedia.org/ontology/notes	2	8
http://dbpedia.org/property/londonDistance	8	8
http://dbpedia.org/property/end	1	8
http://dbpedia.org/ontology/politicalPartyInLegislature	1	8
http://dbpedia.org/property/elevationMinFt	8	8
http://dbpedia.org/ontology/capitalPosition	6	8
http://dbpedia.org/ontology/firstAscentPerson	2	8
http://dbpedia.org/property/subdivisions	2	8
http://dbpedia.org/property/municipalityType	7	8
http://dbpedia.org/ontology/highestState	3	8
http://dbpedia.org/property/politicalGroups	3	8
http://dbpedia.org/property/langs	3	8
http://dbpedia.org/property/twintowns	4	8
http://dbpedia.org/property/areaMetro	3	7
http://dbpedia.org/ontology/biome	4	7
http://dbpedia.org/ontology/iataLocationIdentifier	6	7
http://dbpedia.org/property/r2LengthM	6	7
http://dbpedia.org/property/watershed	7	7
http://dbpedia.org/ontology/icaoLocationIdentifier	6	7
http://dbpedia.org/property/density	6	7
http://dbpedia.org/property/established	2	7
http://dbpedia.org/ontology/Lake/shoreLength	6	7
http://dbpedia.org/property/r2Surface	6	7
http://dbpedia.org/property/capitalElevation	5	7
http://dbpedia.org/ontology/municipality	6	7
http://dbpedia.org/property/elevationF	6	7
http://dbpedia.org/property/r2Number	6	7
http://dbpedia.org/property/twin6Country	5	7
http://dbpedia.org/property/municipality	6	7
http://dbpedia.org/property/dischargeMax	6	7
http://dbpedia.org/property/meetingPlace	3	7
http://dbpedia.org/property/twin4Country	5	7
http://dbpedia.org/ontology/name	6	7
http://dbpedia.org/property/icao	6	7
http://dbpedia.org/property/notes	2	7
http://dbpedia.org/property/r2LengthF	6	7
http://dbpedia.org/property/lastElection	3	7
http://dbpedia.org/ontology/capitalElevation	5	7
http://dbpedia.org/property/iata	6	7
http://dbpedia.org/property/popUrban	4	6
http://dbpedia.org/ontology/firstAscentYear	3	6
http://dbpedia.org/property/popyear	3	6
http://dbpedia.org/property/firstAscent	3	6
http://dbpedia.org/property/latitude	6	6
http://dbpedia.org/property/einwohner	5	6
http://dbpedia.org/property/höhe	5	6
http://dbpedia.org/ontology/religion	2	6
http://dbpedia.org/property/populationof	5	6
http://dbpedia.org/property/nativenameA	4	6
http://dbpedia.org/property/twin5Country	4	6
http://dbpedia.org/property/populationDensity	1	6
http://dbpedia.org/property/londonDistanceMi	6	6
