-------------------------------------------------------------------------------------------------
| yProperty                                                           | yCountDistinct | yCount |
| <http://dbpedia.org/property/utcOffset1Dst>                         | 23             | 78     |
| <http://dbpedia.org/ontology/dissolutionDate>                       | 23             | 111    |
| <http://dbpedia.org/property/leader>                                | 22             | 67     |
| <http://dbpedia.org/ontology/elevation>                             | 22             | 193    |
| <http://dbpedia.org/ontology/populationAsOf>                        | 21             | 92     |
| <http://dbpedia.org/ontology/populationMetro>                       | 21             | 114    |
| <http://dbpedia.org/property/timezone1Dst>                          | 21             | 76     |
| <http://dbpedia.org/property/anthem>                                | 20             | 71     |
| <http://dbpedia.org/property/timezoneDst>                           | 20             | 101    |
| <http://dbpedia.org/property/utcOffsetDst>                          | 20             | 100    |
| <http://dbpedia.org/ontology/part>                                  | 20             | 430    |
| <http://dbpedia.org/property/populationMetro>                       | 19             | 104    |
| <http://dbpedia.org/property/p>                                     | 18             | 424    |
| <http://dbpedia.org/property/areaTotalSqMi>                         | 17             | 86     |
| <http://dbpedia.org/property/elevationM>                            | 17             | 104    |
| <http://dbpedia.org/property/governingBody>                         | 16             | 139    |
| <http://dbpedia.org/ontology/governingBody>                         | 16             | 139    |
| <http://dbpedia.org/property/areaLandSqMi>                          | 15             | 83     |
| <http://dbpedia.org/property/areaWaterSqMi>                         | 15             | 83     |
| <http://dbpedia.org/ontology/areaMetro>                             | 14             | 51     |
| <http://dbpedia.org/ontology/PopulatedPlace/areaMetro>              | 14             | 51     |
| <http://dbpedia.org/property/popDate>                               | 13             | 41     |
| <http://dbpedia.org/property/elevationFt>                           | 13             | 84     |
| <http://dbpedia.org/ontology/populationUrban>                       | 11             | 78     |
| <http://dbpedia.org/property/rulingParty>                           | 11             | 46     |
| <http://dbpedia.org/property/populationUrban>                       | 11             | 78     |
| <http://dbpedia.org/property/wordnet_type>                          | 11             | 31     |
| <http://dbpedia.org/property/areaLandKm>                            | 10             | 62     |
| <http://dbpedia.org/property/areaWaterKm>                           | 9              | 60     |
| <http://dbpedia.org/property/germanName>                            | 9              | 39     |
| <http://dbpedia.org/property/nuts>                                  | 8              | 22     |
| <http://dbpedia.org/property/areaMetroKm>                           | 8              | 25     |
| <http://dbpedia.org/ontology/grossDomesticProduct>                  | 8              | 22     |
| <http://dbpedia.org/ontology/party>                                 | 8              | 24     |
| <http://dbpedia.org/property/areaMetroSqMi>                         | 8              | 24     |
| <http://dbpedia.org/property/royalAnthem>                           | 8              | 137    |
| <http://dbpedia.org/property/gdp>                                   | 8              | 22     |
| <http://dbpedia.org/ontology/nutsCode>                              | 8              | 22     |
| <http://dbpedia.org/ontology/areaUrban>                             | 7              | 27     |
| <http://dbpedia.org/ontology/largestSettlement>                     | 7              | 104    |
| <http://dbpedia.org/property/largestSettlement>                     | 7              | 99     |
| <http://dbpedia.org/ontology/PopulatedPlace/areaUrban>              | 7              | 27     |
| <http://dbpedia.org/ontology/location>                              | 6              | 22     |
| <http://dbpedia.org/property/areaWaterPercent>                      | 6              | 48     |
| <http://dbpedia.org/property/areaUrbanKm>                           | 6              | 23     |
| <http://dbpedia.org/property/populationDemonym>                     | 6              | 19     |
| <http://dbpedia.org/property/populationAsOf>                        | 6              | 48     |
| <http://dbpedia.org/property/founder>                               | 5              | 16     |
| <http://dbpedia.org/property/elevationMaxFt>                        | 5              | 49     |
| <http://dbpedia.org/property/italianName>                           | 5              | 18     |
| <http://dbpedia.org/ontology/founder>                               | 5              | 21     |
| <http://dbpedia.org/property/state>                                 | 5              | 10     |
| <http://dbpedia.org/ontology/state>                                 | 5              | 12     |
| <http://dbpedia.org/property/elevationMinFt>                        | 5              | 49     |
| <http://dbpedia.org/property/title>                                 | 4              | 117    |
