--------------------------------------------------------------------------------------------	yProperty	yCountDistinct	yCount
============================================================================================
http://dbpedia.org/ontology/associatedBand	1	8
http://dbpedia.org/property/colours	6	8
http://dbpedia.org/ontology/areaWater	5	8
http://dbpedia.org/ontology/leaderFunction	3	8
http://dbpedia.org/property/established	7	8
http://dbpedia.org/property/architecture	7	8
http://dbpedia.org/ontology/areaCode	7	7
http://dbpedia.org/property/buildingType	5	7
http://dbpedia.org/ontology/owningCompany	3	7
http://dbpedia.org/ontology/openingYear	5	7
http://dbpedia.org/ontology/part	2	7
http://dbpedia.org/property/p	2	7
http://dbpedia.org/ontology/populationDensity	5	6
http://dbpedia.org/ontology/PopulatedPlace/populationDensity	5	6
http://dbpedia.org/property/openingDate	5	6
http://dbpedia.org/property/areaCode	6	6
http://dbpedia.org/property/numberOfRestaurants	5	5
http://dbpedia.org/property/locations	3	5
http://dbpedia.org/property/establishedDate	3	5
http://dbpedia.org/property/areaTotalSqMi	5	5
http://dbpedia.org/property/title	1	5
http://dbpedia.org/ontology/soundRecording	1	5
http://dbpedia.org/property/areaLandSqMi	5	5
http://dbpedia.org/property/areaWaterSqMi	5	5
http://dbpedia.org/property/filename	1	5
http://dbpedia.org/ontology/numberOfRestaurants	5	5
http://dbpedia.org/ontology/numberOfLocations	3	5
http://dbpedia.org/property/locationTown	3	5
http://dbpedia.org/property/chancellor	4	5
http://dbpedia.org/ontology/PopulatedPlace/area	5	5
http://dbpedia.org/ontology/chancellor	4	5
http://dbpedia.org/ontology/developer	3	5
http://dbpedia.org/ontology/product	1	4
http://dbpedia.org/property/populationMetro	4	4
http://dbpedia.org/property/revenue	4	4
http://dbpedia.org/ontology/parentCompany	2	4
http://dbpedia.org/property/exits	1	4
http://dbpedia.org/ontology/maximumElevation	4	4
http://dbpedia.org/ontology/minimumElevation	4	4
http://dbpedia.org/ontology/populationMetro	4	4
http://dbpedia.org/property/governingBody	4	4
http://dbpedia.org/property/elevationFt	4	4
http://dbpedia.org/property/inaugurationDate	3	4
http://dbpedia.org/ontology/governingBody	4	4
http://dbpedia.org/property/used	1	4
http://dbpedia.org/property/subsid	1	4
http://dbpedia.org/ontology/revenue	4	4
http://dbpedia.org/property/timezoneDst	4	4
http://dbpedia.org/property/utcOffsetDst	4	4
http://dbpedia.org/property/areaLandKm	4	4
http://dbpedia.org/property/parent	2	4
http://dbpedia.org/property/populationDensitySqMi	3	3
http://dbpedia.org/ontology/netIncome	3	3
http://dbpedia.org/property/rector	3	3
http://dbpedia.org/ontology/formationYear	2	3
http://dbpedia.org/property/language	2	3
http://dbpedia.org/ontology/subsidiary	1	3
http://dbpedia.org/ontology/language	2	3
http://dbpedia.org/property/areaWaterKm	3	3
http://dbpedia.org/property/shoppingMallName	2	3
http://dbpedia.org/ontology/populationUrban	3	3
http://dbpedia.org/property/dean	1	3
http://dbpedia.org/ontology/currentlyUsedFor	1	3
http://dbpedia.org/ontology/governmentType	3	3
http://dbpedia.org/property/areaMagnitude	3	3
http://dbpedia.org/property/developer	3	3
http://dbpedia.org/property/r4Surface	3	3
http://dbpedia.org/property/r4LengthF	3	3
http://dbpedia.org/property/currentuse	1	3
http://dbpedia.org/ontology/rector	3	3
http://dbpedia.org/property/populationUrban	3	3
http://dbpedia.org/property/nativenameR	3	3
http://dbpedia.org/property/r4Number	3	3
http://dbpedia.org/property/netIncome	3	3
http://dbpedia.org/ontology/length	3	3
http://dbpedia.org/property/populationDensityKm	3	3
http://dbpedia.org/property/governmentType	3	3
http://dbpedia.org/property/province	3	3
http://umbel.org/umbel#isLike	3	3
