-------------------------------------------------------------------------------------------------
| yProperty                                                           | yCountDistinct | yCount |
| <http://dbpedia.org/property/casualties>                            | 36             | 140    |
| <http://dbpedia.org/ontology/date>                                  | 35             | 58     |
| <http://dbpedia.org/property/leader>                                | 35             | 236    |
| <http://dbpedia.org/ontology/maximumDischarge>                      | 35             | 54     |
| <http://dbpedia.org/property/source>                                | 35             | 77     |
| <http://dbpedia.org/ontology/Stream/maximumDischarge>               | 34             | 52     |
| <http://dbpedia.org/ontology/causalties>                            | 34             | 165    |
| <http://dbpedia.org/property/areaMetroSqMi>                         | 34             | 80     |
| <http://dbpedia.org/ontology/twinTown>                              | 34             | 289    |
| <http://dbpedia.org/ontology/sourceRegion>                          | 34             | 60     |
| <http://dbpedia.org/ontology/strength>                              | 34             | 198    |
| <http://dbpedia.org/property/mouthName>                             | 33             | 60     |
| <http://dbpedia.org/property/officiallang>                          | 33             | 403    |
| <http://dbpedia.org/property/nearestCity>                           | 33             | 40     |
| <http://dbpedia.org/property/highestElevation>                      | 33             | 109    |
| <http://dbpedia.org/property/largestcity>                           | 33             | 369    |
| <http://dbpedia.org/ontology/regionalLanguage>                      | 33             | 1901   |
| <http://dbpedia.org/property/regionalLanguages>                     | 33             | 2093   |
| <http://dbpedia.org/property/elevationImperial>                     | 33             | 35     |
| <http://dbpedia.org/ontology/wikiPageDisambiguates>                 | 32             | 375    |
| <http://dbpedia.org/property/sourceRegion>                          | 32             | 57     |
| <http://dbpedia.org/property/elevationMin>                          | 30             | 61     |
| <http://dbpedia.org/property/elevationMax>                          | 30             | 61     |
| <http://dbpedia.org/ontology/yearOfConstruction>                    | 29             | 34     |
| <http://dbpedia.org/ontology/mouthRegion>                           | 29             | 44     |
| <http://dbpedia.org/ontology/builder>                               | 29             | 50     |
| <http://dbpedia.org/property/widthKm>                               | 29             | 208    |
| <http://dbpedia.org/property/mouthRegion>                           | 29             | 44     |
| <http://dbpedia.org/property/lowest>                                | 28             | 93     |
| <http://dbpedia.org/ontology/minimumDischarge>                      | 28             | 46     |
| <http://dbpedia.org/property/divisions>                             | 27             | 31     |
| <http://dbpedia.org/ontology/river>                                 | 27             | 43     |
| <http://dbpedia.org/property/code>                                  | 27             | 53     |
| <http://dbpedia.org/ontology/code>                                  | 27             | 53     |
| <http://dbpedia.org/ontology/Stream/minimumDischarge>               | 27             | 44     |
| <http://dbpedia.org/ontology/division>                              | 27             | 32     |
| <http://dbpedia.org/property/totalIslands>                          | 26             | 43     |
| <http://dbpedia.org/ontology/numberOfIslands>                       | 26             | 43     |
| <http://dbpedia.org/property/builder>                               | 26             | 33     |
| <http://dbpedia.org/ontology/party>                                 | 26             | 164    |
| <http://dbpedia.org/ontology/Lake/volume>                           | 25             | 36     |
| <http://dbpedia.org/property/river>                                 | 25             | 40     |
| <http://dbpedia.org/property/islands>                               | 25             | 643    |
| <http://dbpedia.org/property/twin>                                  | 25             | 249    |
| <http://dbpedia.org/ontology/island>                                | 25             | 1849   |
| <http://dbpedia.org/ontology/lowest>                                | 24             | 83     |
| <http://dbpedia.org/property/highest>                               | 24             | 89     |
| <http://dbpedia.org/ontology/populationUrbanDensity>                | 24             | 82     |
| <http://dbpedia.org/ontology/highestPlace>                          | 24             | 93     |
| <http://dbpedia.org/ontology/PopulatedPlace/populationUrbanDensity> | 24             | 82     |
| <http://dbpedia.org/ontology/shoreLength>                           | 23             | 76     |
| <http://dbpedia.org/property/populationDensityUrbanKm>              | 23             | 65     |
| <http://dbpedia.org/ontology/areaOfCatchment>                       | 23             | 86     |
| <http://dbpedia.org/property/irishName>                             | 23             | 35     |
| <http://dbpedia.org/property/londonDistance>                        | 22             | 26     |
| <http://dbpedia.org/property/subjectName>                           | 22             | 33     |
| <http://dbpedia.org/ontology/mountainRange>                         | 22             | 27     |
| <http://dbpedia.org/property/isoCodeRegion>                         | 22             | 31     |
| <http://dbpedia.org/property/range>                                 | 22             | 30     |
| <http://dbpedia.org/ontology/twinCountry>                           | 22             | 180    |
| <http://dbpedia.org/ontology/neighboringMunicipality>               | 21             | 281    |
| <http://dbpedia.org/ontology/municipalityCode>                      | 21             | 30     |
| <http://dbpedia.org/property/unitaryNorthernIreland>                | 21             | 30     |
| <http://dbpedia.org/property/neighboringMunicipalities>             | 21             | 254    |
| <http://dbpedia.org/property/lengthImperial>                        | 21             | 24     |
| <http://dbpedia.org/property/municipalityCode>                      | 21             | 30     |
| <http://dbpedia.org/property/r1Surface>                             | 21             | 24     |
| <http://dbpedia.org/property/lieutenancyNorthernIreland>            | 20             | 28     |
| <http://dbpedia.org/ontology/county>                                | 20             | 30     |
| <http://dbpedia.org/property/watershed>                             | 20             | 28     |
| <http://dbpedia.org/ontology/Lake/shoreLength>                      | 20             | 25     |
| <http://dbpedia.org/ontology/highestPosition>                       | 20             | 54     |
| <http://dbpedia.org/property/dischargeMax>                          | 20             | 36     |
| <http://dbpedia.org/property/lowestElevation>                       | 20             | 52     |
| <http://dbpedia.org/property/part>                                  | 19             | 75     |
| <http://dbpedia.org/ontology/runwayLength>                          | 19             | 56     |
| <http://dbpedia.org/ontology/majorIsland>                           | 19             | 450    |
| <http://dbpedia.org/property/r1Number>                              | 19             | 21     |
| <http://dbpedia.org/property/areaUrbanSqMi>                         | 19             | 56     |
| <http://dbpedia.org/ontology/distanceToEdinburgh>                   | 19             | 31     |
| <http://dbpedia.org/property/seat>                                  | 19             | 37     |
| <http://dbpedia.org/property/majorIslands>                          | 19             | 433    |
| <http://dbpedia.org/ontology/Lake/areaOfCatchment>                  | 19             | 29     |
| <http://dbpedia.org/property/mouthElevationImperial>                | 19             | 22     |
| <http://dbpedia.org/ontology/runwaySurface>                         | 18             | 26     |
| <http://dbpedia.org/property/r1LengthF>                             | 18             | 19     |
| <http://dbpedia.org/property/prominenceM>                           | 17             | 27     |
| <http://dbpedia.org/property/gdp>                                   | 17             | 147    |
| <http://dbpedia.org/ontology/prominence>                            | 17             | 27     |
| <http://dbpedia.org/ontology/runwayDesignation>                     | 17             | 30     |
| <http://dbpedia.org/property/germanName>                            | 17             | 89     |
| <http://dbpedia.org/property/watershedImperial>                     | 17             | 20     |
| <http://dbpedia.org/property/nuts>                                  | 17             | 147    |
| <http://dbpedia.org/ontology/nutsCode>                              | 17             | 147    |
| <http://dbpedia.org/ontology/grossDomesticProduct>                  | 17             | 147    |
| <http://dbpedia.org/property/r1LengthM>                             | 17             | 19     |
| <http://dbpedia.org/ontology/otherName>                             | 16             | 28     |
| <http://dbpedia.org/ontology/municipality>                          | 16             | 19     |
| <http://dbpedia.org/property/elevationF>                            | 16             | 17     |
| <http://dbpedia.org/ontology/populationRural>                       | 16             | 22     |
| <http://dbpedia.org/ontology/name>                                  | 16             | 21     |
| <http://dbpedia.org/property/icao>                                  | 16             | 18     |
| <http://dbpedia.org/property/sourceElevationImperial>               | 16             | 19     |
| <http://dbpedia.org/ontology/id>                                    | 16             | 24     |
| <http://dbpedia.org/property/populationRural>                       | 16             | 22     |
| <http://dbpedia.org/property/iata>                                  | 16             | 18     |
| <http://dbpedia.org/property/dischargeMin>                          | 15             | 31     |
| <http://dbpedia.org/property/dischargeImperial>                     | 15             | 18     |
| <http://dbpedia.org/property/government>                            | 15             | 51     |
| <http://dbpedia.org/property/londonDistanceMi>                      | 15             | 18     |
| <http://dbpedia.org/property/municipality>                          | 15             | 18     |
| <http://dbpedia.org/ontology/government>                            | 15             | 51     |
| <http://dbpedia.org/property/dischargeMaxImperial>                  | 15             | 18     |
| <http://dbpedia.org/property/elevationMaxFt>                        | 15             | 23     |
