-------------------------------------------------------------------------------------------------
| yProperty                                                           | yCountDistinct | yCount |
| <http://dbpedia.org/property/areaMagnitude>                         | 180            | 1531   |
| <http://www.w3.org/2002/07/owl#differentFrom>                       | 160            | 1727   |
| <http://dbpedia.org/property/areaMetroKm>                           | 160            | 1341   |
| <http://dbpedia.org/property/conventionalLongName>                  | 159            | 4827   |
| <http://dbpedia.org/property/commonName>                            | 157            | 5160   |
| <http://dbpedia.org/ontology/currency>                              | 152            | 5200   |
| <http://dbpedia.org/property/currency>                              | 152            | 4652   |
| <http://dbpedia.org/ontology/flag>                                  | 151            | 5157   |
| <http://dbpedia.org/property/imageFlag>                             | 151            | 5157   |
| <http://dbpedia.org/property/country>                               | 148            | 758    |
| <http://dbpedia.org/ontology/longName>                              | 145            | 4660   |
| <http://dbpedia.org/ontology/areaUrban>                             | 139            | 1717   |
| <http://dbpedia.org/ontology/PopulatedPlace/areaUrban>              | 139            | 1717   |
| <http://dbpedia.org/property/areaSqMi>                              | 137            | 4533   |
| <http://dbpedia.org/property/timeZone>                              | 136            | 3461   |
| <http://dbpedia.org/property/elevationMaxM>                         | 135            | 887    |
| <http://dbpedia.org/ontology/anthem>                                | 134            | 4467   |
| <http://dbpedia.org/property/utcOffset1Dst>                         | 129            | 780    |
| <http://dbpedia.org/ontology/officialLanguage>                      | 128            | 5593   |
| <http://dbpedia.org/property/officialLanguages>                     | 128            | 6880   |
| <http://dbpedia.org/property/postcodeDistrict>                      | 124            | 573    |
| <http://dbpedia.org/property/populationEstimate>                    | 124            | 4532   |
| <http://dbpedia.org/property/dialCode>                              | 124            | 568    |
| <http://dbpedia.org/ontology/largestCity>                           | 124            | 4136   |
| <http://dbpedia.org/property/areaUrbanKm>                           | 123            | 1080   |
| <http://dbpedia.org/ontology/gridReference>                         | 122            | 559    |
| <http://dbpedia.org/property/osGridReference>                       | 122            | 559    |
| <http://dbpedia.org/property/timezone1Dst>                          | 121            | 762    |
| <http://dbpedia.org/property/elevationMinM>                         | 117            | 595    |
| <http://dbpedia.org/property/percentWater>                          | 116            | 3960   |
| <http://dbpedia.org/ontology/builder>                               | 115            | 593    |
| <http://dbpedia.org/property/area>                                  | 114            | 505    |
| <http://dbpedia.org/property/state>                                 | 111            | 352    |
| <http://dbpedia.org/property/governingBody>                         | 109            | 1262   |
| <http://dbpedia.org/ontology/district>                              | 108            | 482    |
| <http://dbpedia.org/property/otherName>                             | 105            | 396    |
| <http://dbpedia.org/property/nationalAnthem>                        | 105            | 7785   |
| <http://dbpedia.org/ontology/governingBody>                         | 104            | 1212   |
| <http://dbpedia.org/ontology/synonym>                               | 104            | 395    |
| <http://dbpedia.org/ontology/part>                                  | 102            | 5718   |
| <http://dbpedia.org/property/mayor>                                 | 102            | 579    |
| <http://dbpedia.org/property/generalContractor>                     | 101            | 546    |
| <http://dbpedia.org/ontology/isoCodeRegion>                         | 99             | 599    |
| <http://dbpedia.org/property/p>                                     | 97             | 5783   |
| <http://dbpedia.org/ontology/engineer>                              | 89             | 624    |
| <http://dbpedia.org/ontology/state>                                 | 89             | 281    |
| <http://www.w3.org/2004/02/skos/core#exactMatch>                    | 89             | 2088   |
| <http://dbpedia.org/property/ethnicGroups>                          | 88             | 24065  |
| <http://dbpedia.org/ontology/ethnicGroup>                           | 87             | 14266  |
| <http://dbpedia.org/property/isoCode>                               | 86             | 561    |
| <http://dbpedia.org/property/structuralEngineer>                    | 85             | 415    |
| <http://dbpedia.org/property/elevation>                             | 83             | 389    |
| <http://dbpedia.org/ontology/address>                               | 81             | 246    |
| <http://dbpedia.org/property/address>                               | 81             | 255    |
| <http://dbpedia.org/ontology/inseeCode>                             | 80             | 421    |
| <http://dbpedia.org/property/insee>                                 | 80             | 421    |
| <http://dbpedia.org/property/languages>                             | 74             | 4207   |
| <http://dbpedia.org/ontology/ethnicGroupsInYear>                    | 69             | 1466   |
| <http://dbpedia.org/property/ethnicGroupsYear>                      | 69             | 1466   |
| <http://dbpedia.org/property/pop>                                   | 67             | 466    |
| <http://dbpedia.org/ontology/mayor>                                 | 66             | 345    |
| <http://dbpedia.org/property/largestCity>                           | 66             | 3317   |
| <http://dbpedia.org/ontology/daylightSavingTimeZone>                | 65             | 210    |
| <http://dbpedia.org/property/district>                              | 62             | 250    |
| <http://dbpedia.org/property/type>                                  | 61             | 164    |
| <http://dbpedia.org/property/totalarea>                             | 59             | 908    |
| <http://dbpedia.org/property/areaMetroSqMi>                         | 58             | 849    |
| <http://dbpedia.org/ontology/PopulatedPlace/populationMetroDensity> | 57             | 565    |
| <http://dbpedia.org/ontology/populationMetroDensity>                | 57             | 565    |
| <http://dbpedia.org/property/populationDensityMetroKm>              | 56             | 554    |
| <http://dbpedia.org/property/arrondissement>                        | 55             | 151    |
| <http://dbpedia.org/ontology/arrondissement>                        | 55             | 151    |
| <http://dbpedia.org/property/department>                            | 54             | 261    |
| <http://dbpedia.org/ontology/department>                            | 54             | 261    |
| <http://dbpedia.org/property/category>                              | 53             | 181    |
| <http://dbpedia.org/property/id>                                    | 52             | 613    |
| <http://dbpedia.org/property/r1Number>                              | 52             | 66     |
| <http://dbpedia.org/property/r1Surface>                             | 52             | 67     |
| <http://dbpedia.org/ontology/runwaySurface>                         | 50             | 95     |
| <http://dbpedia.org/ontology/runwayLength>                          | 50             | 245    |
| <http://dbpedia.org/ontology/runwayDesignation>                     | 50             | 139    |
| <http://dbpedia.org/property/icao>                                  | 50             | 64     |
| <http://dbpedia.org/ontology/city>                                  | 49             | 297    |
| <http://dbpedia.org/ontology/icaoLocationIdentifier>                | 48             | 65     |
| <http://dbpedia.org/property/founder>                               | 48             | 438    |
| <http://dbpedia.org/property/elevationF>                            | 48             | 62     |
| <http://dbpedia.org/property/licence>                               | 47             | 214    |
| <http://dbpedia.org/property/province>                              | 47             | 263    |
| <http://dbpedia.org/ontology/founder>                               | 47             | 446    |
| <http://dbpedia.org/ontology/province>                              | 47             | 263    |
| <http://dbpedia.org/property/r1LengthM>                             | 47             | 61     |
| <http://dbpedia.org/property/highestelev>                           | 46             | 855    |
| <http://dbpedia.org/property/r1LengthF>                             | 46             | 60     |
| <http://dbpedia.org/property/lowestelev>                            | 46             | 855    |
| <http://dbpedia.org/property/shireDistrict>                         | 44             | 214    |
| <http://dbpedia.org/property/shireCounty>                           | 44             | 214    |
| <http://dbpedia.org/ontology/saint>                                 | 43             | 336    |
| <http://dbpedia.org/property/nationalMotto>                         | 43             | 1576   |
| <http://dbpedia.org/property/saint>                                 | 43             | 332    |
| <http://dbpedia.org/property/cost>                                  | 42             | 521    |
| <http://dbpedia.org/property/link>                                  | 41             | 447    |
| <http://dbpedia.org/property/iata>                                  | 41             | 53     |
| <http://dbpedia.org/property/landarea>                              | 40             | 691    |
| <http://dbpedia.org/property/r2Surface>                             | 40             | 52     |
| <http://dbpedia.org/property/r2Number>                              | 40             | 53     |
| <http://dbpedia.org/ontology/iataLocationIdentifier>                | 39             | 51     |
| <http://dbpedia.org/property/waterarea>                             | 39             | 679    |
| <http://dbpedia.org/ontology/name>                                  | 38             | 429    |
| <http://dbpedia.org/property/r2LengthF>                             | 38             | 50     |
| <http://dbpedia.org/property/stand>                                 | 37             | 179    |
| <http://dbpedia.org/ontology/populationUrbanDensity>                | 37             | 381    |
| <http://dbpedia.org/ontology/PopulatedPlace/populationUrbanDensity> | 37             | 381    |
| <http://dbpedia.org/property/refnum>                                | 36             | 52     |
| <http://dbpedia.org/property/r2LengthM>                             | 35             | 47     |
| <http://dbpedia.org/property/added>                                 | 35             | 40     |
| <http://dbpedia.org/property/populationDensityUrbanKm>              | 35             | 292    |
| <http://dbpedia.org/property/areaUrbanSqMi>                         | 35             | 632    |
| <http://dbpedia.org/property/leader>                                | 35             | 260    |
