-------------------------------------------------------------------------------------------------	yProperty	yCountDistinct	yCount
=================================================================================================
http://dbpedia.org/ontology/saint	8	31
http://dbpedia.org/property/year	6	30
http://dbpedia.org/ontology/location	3	28
http://dbpedia.org/property/saint	8	28
http://dbpedia.org/property/royalAnthem	1	28
http://dbpedia.org/property/location	2	27
http://dbpedia.org/property/highestState	1	26
http://dbpedia.org/ontology/highestState	1	26
http://dbpedia.org/ontology/province	8	26
http://dbpedia.org/property/province	8	26
http://dbpedia.org/property/intercommunality	3	24
http://dbpedia.org/ontology/largestSettlement	2	20
http://dbpedia.org/property/largestSettlement	2	20
http://dbpedia.org/property/scotsName	5	19
http://dbpedia.org/property/subjectName	6	19
http://dbpedia.org/property/divisions	4	18
http://dbpedia.org/ontology/division	4	18
http://dbpedia.org/property/popEstAsOf	1	18
http://dbpedia.org/property/type	6	17
http://dbpedia.org/property/party	8	17
http://dbpedia.org/ontology/subdivisions	2	16
http://dbpedia.org/ontology/censusYear	6	16
http://dbpedia.org/property/postalCodes	8	16
http://dbpedia.org/property/telephoneArea	8	16
http://dbpedia.org/property/subdivisions	2	16
http://dbpedia.org/ontology/municipalityCode	6	14
http://dbpedia.org/property/municipalityCode	6	14
http://dbpedia.org/property/isoCodeRegion	6	14
http://dbpedia.org/property/mayorParty	7	13
http://dbpedia.org/property/code	12	13
http://dbpedia.org/ontology/code	12	13
http://dbpedia.org/property/lieutenancyScotland	5	12
http://dbpedia.org/property/canton	6	12
http://dbpedia.org/property/localName	2	12
http://dbpedia.org/ontology/canton	6	12
http://dbpedia.org/property/lowestM	4	12
http://dbpedia.org/property/highestM	4	12
http://dbpedia.org/property/populationRural	5	11
http://dbpedia.org/ontology/populationRural	5	11
http://dbpedia.org/property/popyear	5	10
http://dbpedia.org/ontology/lieutenancyArea	4	10
http://dbpedia.org/ontology/areaRural	3	9
http://dbpedia.org/ontology/ceremonialCounty	6	9
http://dbpedia.org/property/twintowns	3	9
http://dbpedia.org/property/irishName	1	9
http://dbpedia.org/property/areaRuralKm	3	9
http://umbel.org/umbel#isLike	2	9
http://dbpedia.org/property/unitaryWales	4	7
http://dbpedia.org/ontology/meaning	4	7
http://dbpedia.org/property/lieutenancyWales	4	7
http://dbpedia.org/property/nameLocal	2	7
http://dbpedia.org/ontology/principalArea	4	7
http://dbpedia.org/property/elevationImperial	4	7
http://dbpedia.org/property/highest	4	7
http://dbpedia.org/ontology/highestPlace	4	7
http://dbpedia.org/property/meaning	4	7
http://dbpedia.org/property/populationDensityMetroSqMi	3	6
http://dbpedia.org/property/areaMetro	1	6
http://dbpedia.org/property/popofyear	1	6
http://dbpedia.org/property/twin3Country	3	6
http://dbpedia.org/property/elevationMax	1	6
http://dbpedia.org/property/elevationMin	1	6
http://dbpedia.org/property/populationDensityUrbanSqMi	3	6
http://dbpedia.org/property/yearEnd	4	6
http://dbpedia.org/property/yearStart	4	6
http://rdvocab.info/RDARelationshipsWEMI/manifestationOfWork	1	6
http://dbpedia.org/property/lowestElevationImperial	2	5
http://dbpedia.org/property/anthem	5	5
http://dbpedia.org/property/popDate	1	5
http://dbpedia.org/property/highestElevationImperial	2	5
http://dbpedia.org/property/twin2Country	3	5
http://dbpedia.org/property/londonDistance	3	4
http://dbpedia.org/property/twin5Country	2	4
http://dbpedia.org/property/twin6Country	2	4
http://dbpedia.org/property/arname	3	4
http://dbpedia.org/ontology/frazioni	2	4
http://dbpedia.org/property/countryLargestCity	3	3
http://dbpedia.org/property/founded	1	3
http://dbpedia.org/property/shireCounty	3	3
http://dbpedia.org/property/shireDistrict	3	3
http://dbpedia.org/property/edinburghDistance	2	3
http://dbpedia.org/property/populationDate	1	3
http://dbpedia.org/property/welshName	1	3
http://dbpedia.org/property/frazioni	2	2
http://dbpedia.org/property/part	1	2
http://dbpedia.org/property/archipelago	2	2
http://dbpedia.org/property/governmentElevationImperial	1	2
http://dbpedia.org/property/day	1	2
http://dbpedia.org/ontology/related	1	2
http://dbpedia.org/ontology/dissolutionYear	2	2
http://dbpedia.org/ontology/metropolitanBorough	2	2
http://dbpedia.org/property/charingxDistanceMi	2	2
http://dbpedia.org/property/metropolitanBorough	2	2
http://dbpedia.org/ontology/distanceToCharingCross	2	2
http://dbpedia.org/property/lieutenancyEngland	2	2
http://dbpedia.org/ontology/day	1	2
http://dbpedia.org/property/completionDate	1	2
http://dbpedia.org/ontology/majorIsland	1	1
http://dbpedia.org/property/bezirk	1	1
http://dbpedia.org/property/related	1	1
http://dbpedia.org/property/totalIslands	1	1
http://dbpedia.org/property/höhe	1	1
http://dbpedia.org/property/langs	1	1
http://dbpedia.org/property/group	1	1
http://dbpedia.org/ontology/numberOfIslands	1	1
http://dbpedia.org/ontology/religion	1	1
http://dbpedia.org/property/einwohner	1	1
http://dbpedia.org/ontology/id	1	1
http://dbpedia.org/ontology/populationPlace	1	1
http://dbpedia.org/property/bundesland	1	1
http://dbpedia.org/property/partei	1	1
http://dbpedia.org/property/popplace	1	1
http://dbpedia.org/property/municipalityType	1	1
http://dbpedia.org/property/majorIslands	1	1
http://dbpedia.org/property/twin4Country	1	1
http://dbpedia.org/property/twin7Country	1	1
http://dbpedia.org/property/rels	1	1
http://dbpedia.org/ontology/party	1	1
http://dbpedia.org/ontology/dissolutionDate	1	1
http://dbpedia.org/property/fläche	1	1
http://dbpedia.org/property/density	1	1
http://dbpedia.org/property/twin8Country	1	1
http://dbpedia.org/ontology/archipelago	1	1
http://dbpedia.org/ontology/distanceToCardiff	1	1
http://dbpedia.org/ontology/city	1	1
-------------------------------------------------------------------------------------------------
