"p","callret-1"
"http://yago-knowledge.org/resource/infobox/de/schnitt",4620
"http://yago-knowledge.org/resource/infobox/fr/durée",4595
"http://yago-knowledge.org/resource/infobox/en/label",4577
"http://yago-knowledge.org/resource/infobox/fr/suivantlien",4471
"http://yago-knowledge.org/resource/infobox/en/story",4448
"http://yago-knowledge.org/resource/infobox/en/last",4429
"http://yago-knowledge.org/resource/infobox/fr/charte",4406
"http://yago-knowledge.org/resource/infobox/en/shiptonnage",4351
"http://yago-knowledge.org/resource/infobox/en/swing",4330
"http://yago-knowledge.org/resource/infobox/fr/précédentlien",4325
"http://yago-knowledge.org/resource/infobox/en/champions",4173
"http://yago-knowledge.org/resource/infobox/en/home",4169
"http://yago-knowledge.org/resource/infobox/en/input",4084
"http://yago-knowledge.org/resource/infobox/en/previous",4077
"http://yago-knowledge.org/resource/infobox/en/visitor",4054
"http://yago-knowledge.org/resource/infobox/en/teams",3955
"http://yago-knowledge.org/resource/infobox/en/presenter",3841
"http://yago-knowledge.org/resource/infobox/en/leadersseat",3789
"http://yago-knowledge.org/resource/infobox/fr/réalisation",3765
"http://yago-knowledge.org/resource/infobox/en/season",3753
"http://yago-knowledge.org/resource/infobox/en/competition",3748
"http://yago-knowledge.org/resource/infobox/en/shipowner",3704
"http://yago-knowledge.org/resource/infobox/en/shipcompleted",3691
"http://yago-knowledge.org/resource/infobox/fr/annéedesortie",3647
"http://yago-knowledge.org/resource/infobox/pl/type",3634
"http://yago-knowledge.org/resource/infobox/fr/sport",3605
"http://yago-knowledge.org/resource/infobox/en/leadersince",3595
"http://yago-knowledge.org/resource/infobox/en/numteams",3532
"http://yago-knowledge.org/resource/infobox/en/count",3419
"http://yago-knowledge.org/resource/infobox/en/seatsforelection",3390
"http://yago-knowledge.org/resource/infobox/fr/organisateur",3384
"http://yago-knowledge.org/resource/infobox/en/shippower",3359
"http://yago-knowledge.org/resource/infobox/en/mapcaption",3300
"http://yago-knowledge.org/resource/infobox/en/logo",3298
"http://yago-knowledge.org/resource/infobox/fr/vainqueur",3281
"http://yago-knowledge.org/resource/infobox/de/fsk",3230
"http://yago-knowledge.org/resource/infobox/en/fatalities",3227
"http://yago-knowledge.org/resource/infobox/fr/suivanttexte",3226
"http://yago-knowledge.org/resource/infobox/en/mapsize",3221
"http://yago-knowledge.org/resource/infobox/en/precededby",3212
"http://yago-knowledge.org/resource/infobox/en/followedby",3205
"http://yago-knowledge.org/resource/infobox/en/shipstatus",3178
"http://yago-knowledge.org/resource/infobox/en/shipoperator",3170
"http://yago-knowledge.org/resource/infobox/en/author",3164
"http://yago-knowledge.org/resource/infobox/fr/précédenttexte",3128
"http://yago-knowledge.org/resource/infobox/en/opentheme",3115
"http://yago-knowledge.org/resource/infobox/en/size",3108
"http://yago-knowledge.org/resource/infobox/en/venues",3025
"http://yago-knowledge.org/resource/infobox/fr/acteur",3011
"http://yago-knowledge.org/resource/infobox/en/distance",3010
"http://yago-knowledge.org/resource/infobox/fr/scénario",2973
"http://yago-knowledge.org/resource/infobox/en/continentalcup",2922
"http://yago-knowledge.org/resource/infobox/en/continentalcupqualifiers",2913
"http://yago-knowledge.org/resource/infobox/nl/type",2892
"http://yago-knowledge.org/resource/infobox/en/founded",2866
"http://yago-knowledge.org/resource/infobox/en/stadium",2856
"http://yago-knowledge.org/resource/infobox/en/operator",2854
"http://yago-knowledge.org/resource/infobox/en/mvp",2852
"http://yago-knowledge.org/resource/infobox/en/winners",2838
"http://yago-knowledge.org/resource/infobox/fr/nom",2828
"http://yago-knowledge.org/resource/infobox/en/coordinates",2809
"http://yago-knowledge.org/resource/infobox/en/goals",2765
"http://yago-knowledge.org/resource/infobox/en/shipnotes",2762
"http://yago-knowledge.org/resource/infobox/en/track",2760
"http://yago-knowledge.org/resource/infobox/en/data",2752
"http://yago-knowledge.org/resource/infobox/en/shipyardnumber",2746
"http://yago-knowledge.org/resource/infobox/de/dt",2743
"http://yago-knowledge.org/resource/infobox/en/satserv",2720
"http://yago-knowledge.org/resource/infobox/en/mapimage",2698
"http://yago-knowledge.org/resource/infobox/en/fullname",2696
"http://yago-knowledge.org/resource/infobox/fr/participants",2686
"http://yago-knowledge.org/resource/infobox/en/tourneyname",2685
"http://yago-knowledge.org/resource/infobox/en/cities",2683
"http://yago-knowledge.org/resource/infobox/fr/tenant",2668
"http://yago-knowledge.org/resource/infobox/en/winvalue",2667
"http://yago-knowledge.org/resource/infobox/en/listepisodes",2642
"http://yago-knowledge.org/resource/infobox/en/shipidentification",2628
"http://yago-knowledge.org/resource/infobox/en/shipinservice",2615
"http://yago-knowledge.org/resource/infobox/fr/édition",2610
"http://yago-knowledge.org/resource/infobox/en/cableserv",2597
"http://yago-knowledge.org/resource/infobox/en/team",2576
"http://yago-knowledge.org/resource/infobox/en/campaignbox",2571
"http://yago-knowledge.org/resource/infobox/en/shipcapacity",2565
"http://yago-knowledge.org/resource/infobox/en/audioformat",2563
"http://yago-knowledge.org/resource/infobox/en/purse",2543
"http://yago-knowledge.org/resource/infobox/en/satchan",2542
"http://yago-knowledge.org/resource/infobox/en/injuries",2531
"http://yago-knowledge.org/resource/infobox/fr/production",2510
"http://yago-knowledge.org/resource/infobox/en/length",2467
"http://yago-knowledge.org/resource/infobox/en/shipoutofservice",2466
"http://yago-knowledge.org/resource/infobox/en/host",2449
"http://yago-knowledge.org/resource/infobox/en/surface",2441
"http://yago-knowledge.org/resource/infobox/fr/articleprincipal",2426
"http://yago-knowledge.org/resource/infobox/en/runningmate",2423
"http://yago-knowledge.org/resource/infobox/en/releasedate",2405
"http://yago-knowledge.org/resource/infobox/en/cablechan",2374
"http://yago-knowledge.org/resource/infobox/fr/titreoriginal",2357
"http://yago-knowledge.org/resource/infobox/en/class",2344
"http://yago-knowledge.org/resource/infobox/en/shiptonsburthen",2340
"http://yago-knowledge.org/resource/infobox/en/thememusiccomposer",2333
"http://yago-knowledge.org/resource/infobox/pl/tytuł",2333
"http://yago-knowledge.org/resource/infobox/en/camera",2328
"http://yago-knowledge.org/resource/infobox/en/homestate",2320
"http://yago-knowledge.org/resource/infobox/en/shipsailplan",2318
"http://yago-knowledge.org/resource/infobox/fr/image",2299
"http://yago-knowledge.org/resource/infobox/en/related",2253
"http://yago-knowledge.org/resource/infobox/en/second",2252
"http://yago-knowledge.org/resource/infobox/en/startdate",2248
"http://yago-knowledge.org/resource/infobox/en/imagecaption",2243
"http://yago-knowledge.org/resource/infobox/pl/gatunek",2239
"http://yago-knowledge.org/resource/infobox/en/enddate",2200
"http://yago-knowledge.org/resource/infobox/en/engine",2187
"http://yago-knowledge.org/resource/infobox/pl/krajprodukcji",2172
"http://yago-knowledge.org/resource/infobox/en/hostcity",2161
"http://yago-knowledge.org/resource/infobox/en/numseries",2156
"http://yago-knowledge.org/resource/infobox/en/third",2146
"http://yago-knowledge.org/resource/infobox/en/champion",2138
"http://yago-knowledge.org/resource/infobox/en/narrator",2121
"http://yago-knowledge.org/resource/infobox/en/shipregistry",2114
"http://yago-knowledge.org/resource/infobox/fr/combattants",2101
"http://yago-knowledge.org/resource/infobox/en/seatsbefore",2079
"http://yago-knowledge.org/resource/infobox/en/course",2055
"http://yago-knowledge.org/resource/infobox/pl/reżyseria",2042
"http://yago-knowledge.org/resource/infobox/en/colour",2032
"http://yago-knowledge.org/resource/infobox/en/logosize",1999
"http://yago-knowledge.org/resource/infobox/en/horserace",1982
"http://yago-knowledge.org/resource/infobox/en/concerttourname",1974
"http://yago-knowledge.org/resource/infobox/en/number",1963
"http://yago-knowledge.org/resource/infobox/en/owner",1953
"http://yago-knowledge.org/resource/infobox/en/firstteam",1932
"http://yago-knowledge.org/resource/infobox/en/promotion",1909
"http://yago-knowledge.org/resource/infobox/en/shipholddepth",1897
"http://yago-knowledge.org/resource/infobox/pl/scenariusz",1891
"http://yago-knowledge.org/resource/infobox/en/numberofshows",1883
"http://yago-knowledge.org/resource/infobox/en/decideyear",1882
"http://yago-knowledge.org/resource/infobox/en/relegated",1866
"http://yago-knowledge.org/resource/infobox/pl/datapremiery",1862
"http://yago-knowledge.org/resource/infobox/en/region",1852
"http://yago-knowledge.org/resource/infobox/en/cover",1852
"http://yago-knowledge.org/resource/infobox/en/decidedate",1849
"http://yago-knowledge.org/resource/infobox/en/thisalbum",1843
"http://yago-knowledge.org/resource/infobox/en/litigants",1839
"http://yago-knowledge.org/resource/infobox/en/filmname",1836
"http://yago-knowledge.org/resource/infobox/en/isbn",1826
"http://yago-knowledge.org/resource/infobox/en/requirements",1816
"http://yago-knowledge.org/resource/infobox/en/topscorer",1815
"http://yago-knowledge.org/resource/infobox/pl/czastrwania",1807
"http://yago-knowledge.org/resource/infobox/en/thistour",1805
"http://yago-knowledge.org/resource/infobox/en/editor",1798
"http://yago-knowledge.org/resource/infobox/en/weight",1795
"http://yago-knowledge.org/resource/infobox/en/firstdriver",1787
"http://yago-knowledge.org/resource/infobox/en/manufacturer",1784
"http://yago-knowledge.org/resource/infobox/en/electoralvote",1782
"http://yago-knowledge.org/resource/infobox/en/coursekm",1778
"http://yago-knowledge.org/resource/infobox/en/distancelaps",1772
"http://yago-knowledge.org/resource/infobox/en/poledriver",1771
"http://yago-knowledge.org/resource/infobox/en/coursemi",1771
"http://yago-knowledge.org/resource/infobox/en/distancekm",1768
"http://yago-knowledge.org/resource/infobox/fr/commandant",1768
"http://yago-knowledge.org/resource/infobox/en/distancemi",1762
"http://yago-knowledge.org/resource/infobox/en/poleteam",1761
"http://yago-knowledge.org/resource/infobox/en/conference",1760
"http://yago-knowledge.org/resource/infobox/en/court",1759
"http://yago-knowledge.org/resource/infobox/en/lastevent",1745
"http://yago-knowledge.org/resource/infobox/en/nextevent",1744
"http://yago-knowledge.org/resource/infobox/en/candidate",1731
"http://yago-knowledge.org/resource/infobox/en/shiphomeport",1727
"http://yago-knowledge.org/resource/infobox/pl/zdjęcia",1703
"http://yago-knowledge.org/resource/infobox/fr/siteweb",1687
"http://yago-knowledge.org/resource/infobox/en/racetype",1685
"http://yago-knowledge.org/resource/infobox/en/argueyear",1684
"http://yago-knowledge.org/resource/infobox/en/majority",1684
"http://yago-knowledge.org/resource/infobox/en/usvol",1683
"http://yago-knowledge.org/resource/infobox/en/qualification",1680
"http://yago-knowledge.org/resource/infobox/en/uspage",1678
"http://yago-knowledge.org/resource/infobox/en/frequency",1655
"http://yago-knowledge.org/resource/infobox/en/leaguetopscorer",1653
"http://yago-knowledge.org/resource/infobox/en/shipreclassified",1651
"http://yago-knowledge.org/resource/infobox/en/scotus",1642
"http://yago-knowledge.org/resource/infobox/en/holding",1642
"http://yago-knowledge.org/resource/infobox/en/secondother",1640
"http://yago-knowledge.org/resource/infobox/en/border",1636
"http://yago-knowledge.org/resource/infobox/en/episodes",1629
"http://yago-knowledge.org/resource/infobox/en/raceno",1617
"http://yago-knowledge.org/resource/infobox/en/seasonno",1613
"http://yago-knowledge.org/resource/infobox/en/judges",1607
"http://yago-knowledge.org/resource/infobox/en/citations",1599
"http://yago-knowledge.org/resource/infobox/en/lastalbum",1597
"http://yago-knowledge.org/resource/infobox/en/shiprenamed",1596
"http://yago-knowledge.org/resource/infobox/fr/nombredéditions",1591
"http://yago-knowledge.org/resource/infobox/en/numberoflegs",1584
"http://yago-knowledge.org/resource/infobox/en/launch",1582
"http://yago-knowledge.org/resource/infobox/en/recorded",1577
"http://yago-knowledge.org/resource/infobox/en/shipcrew",1576
"http://yago-knowledge.org/resource/infobox/en/officialname",1574
"http://yago-knowledge.org/resource/infobox/en/lasttour",1572
"http://yago-knowledge.org/resource/infobox/pl/muzyka",1570
"http://yago-knowledge.org/resource/infobox/en/headquarters",1558
"http://yago-knowledge.org/resource/infobox/en/championother",1555
"http://yago-knowledge.org/resource/infobox/en/site",1548
"http://yago-knowledge.org/resource/infobox/en/web",1548
"http://yago-knowledge.org/resource/infobox/en/totalgoals",1537
"http://yago-knowledge.org/resource/infobox/en/nextalbum",1535
"http://yago-knowledge.org/resource/infobox/en/coach",1533
"http://yago-knowledge.org/resource/infobox/en/shipsensors",1532
"http://yago-knowledge.org/resource/infobox/en/lyrics",1519
"http://yago-knowledge.org/resource/infobox/fr/forces",1516
"http://yago-knowledge.org/resource/infobox/en/units",1514
"http://yago-knowledge.org/resource/infobox/pl/produkcja",1505
"http://yago-knowledge.org/resource/infobox/en/arguedate",1505
"http://yago-knowledge.org/resource/infobox/en/sport",1501
"http://yago-knowledge.org/resource/infobox/en/shiptestdepth",1499
"http://yago-knowledge.org/resource/infobox/nl/genre",1487
"http://yago-knowledge.org/resource/infobox/pl/język",1486
"http://yago-knowledge.org/resource/infobox/en/inaugurated",1486
"http://yago-knowledge.org/resource/infobox/en/shiphonours",1485
"http://yago-knowledge.org/resource/infobox/en/album",1484
"http://yago-knowledge.org/resource/infobox/en/jakanji",1480
"http://yago-knowledge.org/resource/infobox/en/volumes",1475
"http://yago-knowledge.org/resource/infobox/fr/hiérarchie",1473
"http://yago-knowledge.org/resource/infobox/en/titlecount",1441
"http://yago-knowledge.org/resource/infobox/en/confederations",1439
"http://yago-knowledge.org/resource/infobox/en/joinmajority",1439
"http://yago-knowledge.org/resource/infobox/en/alt",1434
"http://yago-knowledge.org/resource/infobox/en/runnerup",1434
"http://yago-knowledge.org/resource/infobox/en/nexttour",1424
"http://yago-knowledge.org/resource/infobox/fr/création",1408
"http://yago-knowledge.org/resource/infobox/en/weather",1402
"http://yago-knowledge.org/resource/infobox/en/magazine",1388
"http://yago-knowledge.org/resource/infobox/en/destination",1387
"http://yago-knowledge.org/resource/infobox/en/hideheader",1360
"http://yago-knowledge.org/resource/infobox/en/narrated",1359
"http://yago-knowledge.org/resource/infobox/pl/głównerole",1358
"http://yago-knowledge.org/resource/infobox/en/poletime",1356
"http://yago-knowledge.org/resource/infobox/en/bronzenpc",1356
"http://yago-knowledge.org/resource/infobox/en/shipaircraft",1350
"http://yago-knowledge.org/resource/infobox/en/duration",1337
"http://yago-knowledge.org/resource/infobox/en/arena",1335
"http://yago-knowledge.org/resource/infobox/en/goldnpc",1329
"http://yago-knowledge.org/resource/infobox/en/logofile",1323
"http://yago-knowledge.org/resource/infobox/en/dissent",1322
"http://yago-knowledge.org/resource/infobox/en/posttitle",1319
"http://yago-knowledge.org/resource/infobox/en/silvernpc",1319
